uid,prcnt_chng_avg_selector_days,prcnt_chng_over_365_days,prcnt_chng_cpmh,prcnt_chng_cpmh_na,prcnt_chng_turnover
BISMARCK-2345-3J-4,0.083,0.056,0.090,0.090,-0.08
CHICAGO-2099-3Y-4,0.107,0.105,0.096,0.096,-1.00
CINCINNATI-1103-3W-4,-0.253,-0.495,0.134,0.134,-0.41
GRAND FORKS-2340-3L-4,-0.098,-0.128,0.050,,
INDIANAPOLIS-1054-3V-4,0.145,-0.019,0.319,0.319,-0.34
IOWA-2370-6F-4,0.405,0.014,2.750,2.750,0.56
KANSAS CITY-3230-6I-4,-0.024,-0.061,0.104,0.104,-0.47
MINNESOTA-2350-3F-4,-0.139,-0.131,-0.013,-0.013,4.92
OMAHA-2360-9I-4,0.100,0.063,0.076,0.076,-1.00
SALEM-3210-8U-4,-0.339,-0.230,-0.015,-0.015,-0.12
ST.LOUIS-3220-9U-4,-0.116,-0.271,0.173,0.173,-0.67
STREATOR-2330-3K-4,-0.047,0.060,-0.152,,
WISCONSIN-248-3D-4,0.030,0.041,0.082,0.082,-1.00
ALBANY-2140-9B-4,0.366,0.185,0.064,0.064,-0.66
ALLENTOWN-2110-2J-4,0.191,0.097,0.021,0.021,-0.62
ALTOONA-2180-2H-4,-0.132,-0.257,0.062,,
BOSTON-2148-2O-4,-0.104,0.025,0.084,0.084,0.18
BRIDGEPORT-3190-4V-4,-0.058,-0.125,0.019,0.019,-0.46
BUFFALO-2190-2R-4,-0.213,-0.242,0.076,0.076,-0.24
CLEVELAND-1104-3Z-4,-0.149,-0.100,0.225,0.225,-0.55
CONNECTICUT-2020-2G-4,-0.138,-0.067,0.213,,
DETROIT-1106-8L-4,0.014,0.084,0.310,0.310,-0.67
GREENSBURG-2185-8E-4,-0.336,-0.333,-0.070,-0.070,-0.34
METRO NEW YORK-2160-2I-4,0.070,0.040,0.242,0.242,-0.64
PITTSTON-2170-2N-4,-0.183,-0.284,0.034,0.034,0.50
SWEDESBORO-2116-2Z-4,-0.114,-0.073,-0.047,,
DENVER SOUTH-3160-6V-4,0.053,-0.210,-0.382,-0.382,-0.81
SALT LAKE CITY-4118-4H-4,-0.112,0.139,0.076,0.076,-0.17
SEATTLE SOUTH-4147-4Q-4,-0.151,-0.208,-0.043,,
ATLANTA-2220-5I-4,-0.066,-0.059,0.034,0.034,-0.60
AUSTIN-3023-6Z-4,0.091,0.088,0.189,0.189,-1.00
DALLAS-3150-6W-4,0.050,0.273,0.000,0.000,-0.29
HOUSTON-3126-6Y-4,0.007,0.192,-0.049,-0.049,-1.00
JACKSON-3186-6U-4,-0.020,0.167,0.136,0.136,-1.00
KNOXVILLE-2270-6H-4,0.103,0.175,0.018,0.018,-0.71
LITTLE ROCK-3051-6D-4,0.575,0.601,0.257,0.257,-0.41
MEMPHIS-3147-8S-4,-0.143,-0.116,-0.134,-0.134,-1.00
MONTGOMERY-2230-5Y-4,0.042,0.092,0.174,0.174,-0.81
NORCROSS-3139-8O-4,0.156,0.297,0.257,0.257,-1.00
OKLAHOMA CITY-3170-6J-4,0.060,0.138,0.250,0.250,-0.90
BOCA RATON-3135-8N-4,0.011,-0.066,0.030,0.030,-0.60
CHARLOTTE-2210-5E-4,0.202,0.141,0.158,0.158,-0.72
COLUMBIA-2260-5D-4,0.289,0.337,0.400,0.400,-0.23
FORT MILL-2250-6B-4,0.183,0.137,0.231,0.231,-0.82
MANASSAS-2125-5O-4,-0.155,-0.239,0.188,0.188,0.13
PORT ORANGE-3055-5Z-4,0.193,0.189,0.100,0.100,-0.09
RALEIGH-2240-5G-4,0.341,0.446,0.267,0.267,-0.88
ROANOKE-2135-6G-4,0.080,0.540,0.390,0.390,-1.00
TAMPA-3103-9D-4,0.101,0.031,0.132,0.132,-0.39
WEST VIRGINIA-2165-2L-4,-0.001,0.000,0.150,,
ALBUQUERQUE-1933-8V-4,0.023,-0.006,0.322,0.322,-1.00
CORONA-4150-4U-4,-0.176,0.005,0.070,0.070,0.22
LAS VEGAS-4100-3M-4,0.198,0.060,0.118,0.118,-1.00
LOS ANGELES-4120-4C-4,-0.090,-0.020,0.000,0.000,-0.63
LUBBOCK-3120-6N-4,-0.188,0.024,0.112,0.112,-1.00
PHOENIX-4146-4I-4,0.033,-0.232,-0.040,-0.040,0.17
RENO-4110-4R-4,0.266,-0.004,0.028,0.028,-1.00
SAN DIEGO-4140-4J-4,-0.208,-0.108,-0.299,,
SAN FRANCISCO-4117-4O-4,0.041,0.003,0.177,0.177,-0.47
BISMARCK-2345-3J-5,0.004,0.000,0.033,,
CHICAGO-2099-3Y-5,0.001,0.067,0.099,0.099,-0.88
CINCINNATI-1103-3W-5,-0.292,-0.412,0.342,0.342,-0.44
GRAND FORKS-2340-3L-5,-0.010,-0.107,0.081,0.081,0.17
INDIANAPOLIS-1054-3V-5,0.040,-0.012,0.267,0.267,-0.58
IOWA-2370-6F-5,0.346,0.518,0.022,0.022,-1.00
KANSAS CITY-3230-6I-5,-0.061,0.011,0.156,0.156,0.09
MINNESOTA-2350-3F-5,-0.013,-0.059,0.019,0.019,-0.61
OMAHA-2360-9I-5,0.070,0.086,0.063,0.063,-1.00
SALEM-3210-8U-5,-0.296,-0.168,-0.015,,
ST.LOUIS-3220-9U-5,-0.095,-0.038,0.439,0.439,-0.13
STREATOR-2330-3K-5,-0.091,0.060,-0.023,,
WISCONSIN-248-3D-5,0.177,-0.024,0.017,,
ALBANY-2140-9B-5,0.303,0.246,0.115,0.115,-0.11
ALLENTOWN-2110-2J-5,0.261,0.166,0.071,0.071,-0.75
ALTOONA-2180-2H-5,-0.115,-0.122,0.060,,
BOSTON-2148-2O-5,0.040,0.114,0.094,0.094,0.54
BRIDGEPORT-3190-4V-5,0.006,-0.085,0.065,0.065,-0.47
BUFFALO-2190-2R-5,-0.293,-0.287,0.058,0.058,-0.66
CLEVELAND-1104-3Z-5,0.167,0.156,0.126,0.126,-1.00
CONNECTICUT-2020-2G-5,0.029,-0.095,0.085,0.085,-1.00
DETROIT-1106-8L-5,0.014,0.143,0.257,0.257,-1.00
GREENSBURG-2185-8E-5,-0.247,-0.339,-0.070,-0.070,-0.67
METRO NEW YORK-2160-2I-5,0.163,0.130,0.231,0.231,-0.75
PITTSTON-2170-2N-5,0.017,0.220,0.318,0.318,0.90
SWEDESBORO-2116-2Z-5,-0.082,-0.090,0.019,,
DENVER SOUTH-3160-6V-5,0.208,0.296,-0.047,-0.047,-0.59
SALT LAKE CITY-4118-4H-5,0.007,0.043,0.028,,
SEATTLE SOUTH-4147-4Q-5,-0.125,-0.182,-0.030,,
ATLANTA-2220-5I-5,-0.027,0.032,0.028,0.028,-0.45
AUSTIN-3023-6Z-5,0.260,0.138,0.090,0.090,-1.00
DALLAS-3150-6W-5,0.210,0.248,0.043,0.043,-0.51
HOUSTON-3126-6Y-5,-0.069,0.070,0.022,0.022,0.13
JACKSON-3186-6U-5,-0.082,0.193,-0.599,-0.599,-1.00
KNOXVILLE-2270-6H-5,0.021,0.119,-0.026,-0.026,-0.54
LITTLE ROCK-3051-6D-5,0.424,0.340,0.195,0.195,-1.00
MEMPHIS-3147-8S-5,-0.097,-0.070,-0.023,-0.023,-1.00
MONTGOMERY-2230-5Y-5,-0.126,0.044,0.165,0.165,-0.50
NORCROSS-3139-8O-5,-0.058,0.220,0.070,0.070,-1.00
OKLAHOMA CITY-3170-6J-5,0.022,0.192,0.206,0.206,-1.00
BOCA RATON-3135-8N-5,0.022,-0.138,-0.065,-0.065,2.27
CHARLOTTE-2210-5E-5,0.139,0.094,0.064,0.064,-0.62
COLUMBIA-2260-5D-5,0.275,0.391,0.299,0.299,1.18
FORT MILL-2250-6B-5,0.199,0.097,0.113,0.113,-0.84
MANASSAS-2125-5O-5,0.054,-0.208,0.212,0.212,-0.67
PORT ORANGE-3055-5Z-5,0.147,0.133,0.105,0.105,-0.25
RALEIGH-2240-5G-5,0.352,0.517,0.210,0.210,-1.00
ROANOKE-2135-6G-5,0.359,0.473,0.293,0.293,-0.87
TAMPA-3103-9D-5,0.129,0.032,0.112,0.112,-0.66
WEST VIRGINIA-2165-2L-5,0.127,0.003,0.100,,
ALBUQUERQUE-1933-8V-5,0.022,0.128,0.231,,
CORONA-4150-4U-5,-0.135,0.052,0.032,0.032,-1.00
LAS VEGAS-4100-3M-5,0.108,0.122,-0.030,-0.030,-1.00
LOS ANGELES-4120-4C-5,-0.080,-0.076,0.023,,
LUBBOCK-3120-6N-5,-0.186,-0.136,0.020,,
PHOENIX-4146-4I-5,0.053,-0.098,-0.033,-0.033,-0.55
RENO-4110-4R-5,0.180,0.093,-0.079,,
SAN DIEGO-4140-4J-5,-0.079,0.051,-0.021,-0.021,-1.00
SAN FRANCISCO-4117-4O-5,0.035,0.028,0.133,0.133,0.02
BISMARCK-2345-3J-6,-0.060,-0.062,-0.022,,
CHICAGO-2099-3Y-6,0.204,0.052,0.086,0.086,-1.00
CINCINNATI-1103-3W-6,-0.018,-0.247,0.420,0.420,-0.64
GRAND FORKS-2340-3L-6,-0.011,-0.080,0.105,,
INDIANAPOLIS-1054-3V-6,0.365,0.273,0.306,0.306,-0.51
IOWA-2370-6F-6,0.573,0.499,0.079,0.079,-1.00
KANSAS CITY-3230-6I-6,0.068,-0.005,0.264,0.264,0.55
MINNESOTA-2350-3F-6,0.061,-0.027,-0.052,-0.052,-0.54
OMAHA-2360-9I-6,0.097,0.173,0.019,0.019,-1.00
SALEM-3210-8U-6,-0.154,-0.106,0.046,0.046,-0.83
ST.LOUIS-3220-9U-6,0.161,0.137,0.147,0.147,-0.67
STREATOR-2330-3K-6,0.082,0.163,-0.012,,
WISCONSIN-248-3D-6,0.092,0.007,0.078,0.078,-0.69
ALBANY-2140-9B-6,0.355,0.194,0.083,0.083,-0.37
ALLENTOWN-2110-2J-6,0.444,1.280,0.780,0.780,-1.00
ALTOONA-2180-2H-6,-0.078,-0.129,0.036,0.036,-1.00
BOSTON-2148-2O-6,-0.041,-0.080,-0.033,-0.033,-0.51
BRIDGEPORT-3190-4V-6,0.026,-0.015,0.026,0.026,0.05
